userID,age,gender
78,46.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
127,38.0,F
170,39.0,F
175,28.0,M
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
190,38.0,F
267,15.0,M
325,56.0,M
325,56.0,M
325,56.0,M
383,35.0,F
383,35.0,F
383,35.0,F
476,36.0,M
477,57.0,F
477,57.0,F
477,57.0,F
477,57.0,F
477,57.0,F
493,35.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
498,20.0,M
533,40.0,F
533,40.0,F
533,40.0,F
533,40.0,F
533,40.0,F
533,40.0,F
533,40.0,F
533,40.0,F
533,40.0,F
533,40.0,F
533,40.0,F
548,61.0,F
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
622,34.0,M
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
636,27.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
728,46.0,F
732,65.0,M
783,28.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
788,21.0,M
894,50.0,F
922,19.0,M
922,19.0,M
922,19.0,M
922,19.0,M
922,19.0,M
937,34.0,M
1017,64.0,F
1017,64.0,F
1017,64.0,F
1017,64.0,F
1017,64.0,F
1017,64.0,F
1035,15.0,F
1035,15.0,F
1035,15.0,F
1035,15.0,F
1047,59.0,F
1117,39.0,F
1117,39.0,F
1117,39.0,F
1117,39.0,F
1117,39.0,F
1117,39.0,F
1117,39.0,F
1117,39.0,F
1117,39.0,F
1117,39.0,F
1118,18.0,F
1118,18.0,F
1118,18.0,F
1122,57.0,F
1122,57.0,F
1122,57.0,F
1122,57.0,F
1122,57.0,F
1160,28.0,M
1164,17.0,M
1164,17.0,M
1164,17.0,M
1164,17.0,M
1164,17.0,M
1164,17.0,M
1164,17.0,M
1174,26.0,M
1174,26.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1224,57.0,M
1225,29.0,M
1225,29.0,M
1225,29.0,M
1267,39.0,F
1278,52.0,F
1282,49.0,F
1282,49.0,F
1282,49.0,F
1282,49.0,F
1282,49.0,F
1282,49.0,F
1282,49.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1355,22.0,F
1392,49.0,M
1392,49.0,M
1392,49.0,M
1392,49.0,M
1392,49.0,M
1436,49.0,F
1436,49.0,F
1436,49.0,F
1436,49.0,F
1436,49.0,F
1436,49.0,F
1436,49.0,F
1436,49.0,F
1436,49.0,F
1496,16.0,M
1496,16.0,M
1496,16.0,M
1496,16.0,M
1496,16.0,M
1496,16.0,M
1504,24.0,M
1504,24.0,M
1504,24.0,M
1504,24.0,M
1504,24.0,M
1510,17.0,F
1510,17.0,F
1510,17.0,F
1510,17.0,F
1510,17.0,F
1510,17.0,F
1510,17.0,F
1510,17.0,F
1510,17.0,F
1547,29.0,M
1600,63.0,F
1600,63.0,F
1600,63.0,F
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1632,59.0,M
1652,61.0,F
1663,34.0,M
1663,34.0,M
1663,34.0,M
1663,34.0,M
1663,34.0,M
